USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.1  24160 14420 ?        Ss   17:59   0:01 /sbin/init splash
root         115  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/u27:0-hci0]
root         116  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/u28:0-ttm]
root         183  0.0  0.0      0     0 ?        S    17:59   0:00 [irq/28-ACPI:Event]
root         184  0.0  0.0      0     0 ?        S    17:59   0:00 [irq/29-ACPI:Event]
root         185  0.0  0.0      0     0 ?        S    17:59   0:00 [irq/30-ACPI:Event]
root         186  0.0  0.0      0     0 ?        S    17:59   0:00 [irq/31-ACPI:Event]
root         187  0.0  0.0      0     0 ?        S    17:59   0:00 [irq/32-ACPI:Event]
root         188  0.0  0.0      0     0 ?        S    17:59   0:00 [irq/33-ACPI:Event]
root         189  0.0  0.0      0     0 ?        S    17:59   0:00 [irq/34-ACPI:Event]
root         219  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/4:1H-kblockd]
root         233  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/3:1H-kblockd]
root         246  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/5:1H-kblockd]
root         247  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/1:1H-kblockd]
root         253  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-cryptd]
root         258  0.0  0.0      0     0 ?        S    17:59   0:00 [watchdogd]
root         282  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-nvme-wq]
root         289  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-nvme-reset-wq]
root         291  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-nvme-delete-wq]
root         292  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-nvme-auth-wq]
root         303  0.0  0.0      0     0 ?        S    17:59   0:00 [irq/38-ELAN071A:00]
root         340  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-amdgpu-reset-dev]
root         341  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-ttm]
root         342  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         343  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         344  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-dm_vblank_control_workqueue]
root         345  0.0  0.0      0     0 ?        S    17:59   0:00 [card0-crtc0]
root         346  0.0  0.0      0     0 ?        S    17:59   0:00 [card0-crtc1]
root         347  0.0  0.0      0     0 ?        S    17:59   0:00 [card0-crtc2]
root         348  0.0  0.0      0     0 ?        S    17:59   0:00 [card0-crtc3]
root         349  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-gfx]
root         350  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-comp_1.0.0]
root         351  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-comp_1.1.0]
root         352  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-comp_1.2.0]
root         353  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-comp_1.3.0]
root         354  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-comp_1.0.1]
root         355  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-comp_1.1.1]
root         356  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-comp_1.2.1]
root         357  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-comp_1.3.1]
root         358  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-sdma0]
root         359  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-vcn_dec]
root         360  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-vcn_enc0]
root         361  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-vcn_enc1]
root         362  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-jpeg_dec]
root         405  0.0  0.0      0     0 ?        S    17:59   0:00 [jbd2/nvme0n1p2-8]
root         406  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-ext4-rsv-conversion]
root         472  0.0  0.2  51236 17288 ?        Ss   17:59   0:00 /usr/lib/systemd/systemd-journald
systemd+     489  0.0  0.1  92020  8104 ?        Ssl  17:59   0:00 /usr/lib/systemd/systemd-timesyncd
root         494  0.0  0.1  36540 10752 ?        Ss   17:59   0:00 /usr/lib/systemd/systemd-udevd
root         521  0.0  0.0      0     0 ?        S    17:59   0:00 [psimon]
root         587  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-cfg80211]
root         592  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/u27:2-hci0]
root         608  0.0  0.0      0     0 ?        I    17:59   0:00 [kworker/3:3-mm_percpu_wq]
root         609  0.6  0.0      0     0 ?        S    17:59   0:24 [irq/72-rtw88_pci]
root         667  0.0  0.1   8380  7620 ?        Ss   17:59   0:00 /usr/sbin/haveged --Foreground --verbose=1
root         673  0.0  0.1 309376  7536 ?        Ssl  17:59   0:00 /usr/libexec/accounts-daemon
message+     675  0.0  0.0  10484  6704 ?        Ss   17:59   0:02 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
polkitd      680  0.0  0.1 386668 11748 ?        Ssl  17:59   0:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
root         682  0.0  0.0   9688  5480 ?        Ss   17:59   0:00 /usr/sbin/smartd -n
root         683  0.0  0.1  19116  9484 ?        Ss   17:59   0:00 /usr/lib/systemd/systemd-logind
root         742  0.0  0.2 337244 19932 ?        Ssl  17:59   0:02 /usr/sbin/NetworkManager --no-daemon
root         776  0.0  0.1 390884 11940 ?        Ssl  17:59   0:00 /usr/sbin/ModemManager
root         833  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-rpciod]
root         834  0.0  0.0      0     0 ?        I<   17:59   0:00 [kworker/R-xprtiod]
root         836  0.0  0.0   6864  2772 ?        Ss   17:59   0:00 /usr/sbin/cron -f
root         837  0.0  0.1  18676 11368 ?        Ss   17:59   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root         846  0.0  0.0 380844  7012 ?        SLsl 17:59   0:00 /usr/sbin/lightdm
root         857  4.9  1.7 1568372 134628 tty7   Rsl+ 17:59   3:15 /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root         858  0.0  0.0   8152  2544 tty1     Ss+  17:59   0:00 /sbin/agetty -o -- \u --noreset --noclear - linux
root         886  0.0  0.0      0     0 ?        S    17:59   0:00 [psimon]
rtkit        919  0.0  0.0  21472  3084 ?        SNsl 17:59   0:00 /usr/libexec/rtkit-daemon
root        1028  0.0  0.1 171008  8448 ?        Sl   18:00   0:00 lightdm --session-child 13 24
kali        1041  0.0  0.1  22808 12588 ?        Ss   18:00   0:00 /usr/lib/systemd/systemd --user
kali        1043  0.0  0.0  23416  3780 ?        S    18:00   0:00 (sd-pam)
kali        1061  0.0  0.0   7220  3324 ?        Ss   18:00   0:00 /usr/bin/mpris-proxy
kali        1062  0.0  0.1 102556 12348 ?        S<sl 18:00   0:00 /usr/bin/pipewire
kali        1063  0.0  0.0  84744  5220 ?        Ssl  18:00   0:00 /usr/bin/pipewire -c filter-chain.conf
kali        1065  0.0  0.2 479816 17796 ?        S<sl 18:00   0:00 /usr/bin/wireplumber
kali        1066  0.0  0.1  99876  8808 ?        S<sl 18:00   0:00 /usr/bin/pipewire-pulse
kali        1067  0.0  0.1 183420 10216 ?        SLsl 18:00   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
kali        1068  0.0  0.0   9672  5972 ?        Ss   18:00   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
kali        1084  0.0  0.5 352032 38604 ?        Ssl  18:00   0:03 xfce4-session
kali        1181  0.2  0.1 457904  8136 ?        Ssl  18:00   0:11 /usr/bin/ibus-daemon --daemonize --xim
kali        1195  0.0  0.1 313060  8012 ?        Ssl  18:00   0:00 /usr/libexec/gvfsd
kali        1197  0.0  0.0 381244  7372 ?        Ssl  18:00   0:00 /usr/libexec/at-spi-bus-launcher
kali        1203  0.0  0.0 474308  7396 ?        Sl   18:00   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
kali        1205  0.0  0.0 243156  7180 ?        Sl   18:00   0:00 /usr/libexec/ibus-dconf
kali        1210  0.0  0.6 379408 46244 ?        Sl   18:00   0:02 /usr/libexec/ibus-ui-gtk3
kali        1213  0.0  0.4 284060 36352 ?        Sl   18:00   0:03 /usr/libexec/ibus-extension-gtk3
kali        1219  0.0  0.1 178320 12616 ?        Sl   18:00   0:00 /usr/libexec/ibus-x11 --kill-daemon
